account_name,shipping_country,shipping_state_province,shipping_city,shipping_address_line_2,shipping_address_line_3,shipping_address_line_1,shipping_street
State University of New York Oswego-Semi Rescue Team,United States,New York,Oswego,7060 Route 104,"Oswego, New York 13126-3599",SUNY Oswego,"SUNY Oswego 7060 Route 104 Oswego, New York 13126-3599"
"State University of New York, Geneseo - Rescue Team",United States,New York,Geneseo,,,101 College Circle,101 College Circle
Stuyvesant High School - Rescue Team,United States,New York,New York,,,345 Chambers Street,345 Chambers Street
Summit Charter Collegiate Academy-Rescue Team,United States,California,Porterville,,,,
Sunny Hills High School-Rescue Team,United States,California,Fullerton,,,,
SUNY-New Paltz-Rescue Team,United States,New York,New Paltz,,,,
Sydney Community-Rescue Team,Australia,New South Wales,Sydney,,,,
Syracuse University - Rescue Team,United States,New York,Syracuse,,,,
Temple University - Rescue Team,United States,Pennsylvania,Philadelphia,,,1801 N. Broad Street,1801 N. Broad Street
Texas A&M Univeristy- Central Texas-Rescue Team,United States,Texas,College Station,,,,
Texas A&M University-Rescue Team,United States,Texas,College Station,,,,
Texas Christian University-Rescue Team,United States,Texas,Fort Worth,,,2800 S. University Dr.,2800 S. University Dr.
The Bishop's School-Rescue Team,United States,California,La Jolla,,,,
The O'Neal School-Rescue Team,United States,North Carolina,Southern Pines,,,,
The Westminster School-Rescue Team,United States,Georgia,Atlanta,,,,
The Williston Northampton School - Rescue Team,United States,Massachusetts,Easthampton,,,19 Payson Avenue,19 Payson Avenue
Torrey Pines High School-Rescue Team,United States of America,California,San Diego,,,,
Tufts University - Rescue Team,United States,Massachusetts,Medford,,,,
Union University-Rescue Team,United States,Tennessee,Jackson,,,,
United World College of South East Asia (UWCSEA) - Rescue Team,Singapore,Singapore,Singapore,,,,
University College London-Rescue Team,United Kingdom,England,London,,,,
University of Alabama at Birmingham - Rescue Team,United States,Alabama,Birmingham,,,,
University of Arizona-Rescue Team,United States,Arizona,Tuscon,,,,
University of Bochum-Rescue Team,Germany,North Rhine-Westphalia,Bochum,,,,
University of British Columbia-Rescue Team,Canada,British Columbia,Vancouver,,,,
"University of California, Berkeley (Cal) - Rescue Team",United States,California,Berkeley,,,"200 California Hall, Ste. 1500","200 California Hall, Ste. 1500"
"University of California, Davis (UCD)-Rescue Team",United States,California,Davis,,,,
"University of California, Irvine - Rescue Team",United States,California,Irvine,,,,
"University of California, Los Angeles - Rescue Team",United States,California,Los Angeles,,,,
"University of California, Riverside-Rescue Team",United States,California,Riverside,,,900 University Ave,900 University Ave
"University of California, San Diego (UCSD) - Rescue Team",United States,California,La Jolla,,,,
University of Colorado at Colorado Springs-Rescue Team,United States,Colorado,Colorado Springs,,,,
University of Findlay-Rescue Team,United States,Ohio,Findlay,,,,
University of Florida - Rescue Team,United States,Florida,Gainesville,,,,
University of Georgia-Rescue Team,United States,Georgia,Athens,,,,
